user_id,mpin,pin_length,dob_self,dob_spouse,dob_pet,anniversary_date,label,reason_if_weak,jumbled_self,jumbled_spouse,jumbled_pet,jumbled_anniversary
U0023,5805,4,1979-01-23,1982-12-18,2015-02-20,2000-03-28,STRONG,,7901|7923|0123|1979|2301,8212|1218|8218|1812|1982,0220|1502|2015|1520|2002,0003|2803|0328|0028|2000
U0024,1204,4,1978-11-07,1976-12-04,2019-08-27,2020-10-29,WEAK,DEMOGRAPHIC_SPOUSE,1107|7807|1978|7811|0711,1976|1204|7612|7604|0412,2708|2019|1927|1908|0827,2010|1029|2910|2029|2020
U0025,9768,4,1983-07-31,1985-09-07,2020-10-25,2007-11-03,STRONG,,1983|8331|0731|3107|8307,8507|8509|0709|0907|1985,2010|1025|2510|2025|2020,0311|1103|0711|0703|2007
U0026,2310,4,1989-02-18,1987-10-23,2023-11-01,2023-05-14,WEAK,DEMOGRAPHIC_SPOUSE,8918|8902|1802|1989|0218,2310|1987|8723|1023|8710,2023|0111|1101|2311|2301,0514|2305|2314|1405|2023
U0027,1111,4,1982-12-29,1987-07-20,2021-09-08,2021-06-25,WEAK,COMMON_PATTERN,8212|2912|8229|1229|1982,0720|8707|1987|2007|8720,2021|0809|0908|2108|2109,2021|2106|0625|2506|2125
U0028,0887,4,1971-04-11,1976-02-25,2019-12-03,2014-01-16,STRONG,,7111|1971|7104|0411|1104,1976|7602|2502|0225|7625,2019|1203|1912|1903|0312,1416|1401|0116|1601|2014
U0029,2580,4,1989-09-19,1989-09-19,2013-04-05,2007-10-14,WEAK,COMMON_PATTERN,0919|8909|8919|1909|1989,0919|8909|8919|1909|1989,2013|1304|1305|0504|0405,1410|1014|0710|0714|2007
U0030,2015,4,1982-10-19,1986-09-24,2023-04-08,2015-03-05,WEAK,DEMOGRAPHIC_ANNIVERSARY,1910|1019|8219|1982|8210,2409|8609|1986|8624|0924,0804|2308|0408|2304|2023,1505|0503|0305|1503|2015
U0031,7549,4,1981-07-08,1983-12-14,2020-12-02,2006-06-02,STRONG,,8108|1981|0807|0708|8107,8314|1983|1214|8312|1412,0212|2012|1202|2020|2002,0606|0602|0206|2006
U0032,2612,4,1998-06-07,2002-01-10,2011-06-22,2001-12-26,WEAK,DEMOGRAPHIC_ANNIVERSARY,9807|9806|1998|0607|0706,0201|0210|1001|0110|2002,0622|1106|2206|2011|1122,0126|0112|2612|2001|1226
U0033,3259,4,2003-09-26,2002-07-22,2018-11-28,2000-04-21,STRONG,,0926|2609|0309|0326|2003,2207|0207|0222|0722|2002,1128|1828|2811|2018|1811,0004|2104|0421|0021|2000
U0034,1111,4,1970-03-21,1974-03-24,2015-02-05,2009-01-14,WEAK,COMMON_PATTERN,1970|2103|7003|0321|7021,2403|1974|7403|7424|0324,1502|1505|0502|0205|2015,2009|1401|0114|0901|0914
U0035,0000,4,1996-05-21,1992-06-13,2015-09-21,2005-07-13,WEAK,COMMON_PATTERN,0521|1996|2105|9621|9605,0613|9213|9206|1992|1306,0921|1509|2015|1521|2109,1307|0713|0507|0513|2005
U0036,6430,4,1999-09-14,2003-12-01,2010-04-13,2009-07-13,STRONG,,1409|9909|1999|9914|0914,1201|0301|0112|0312|2003,0413|2010|1013|1304|1004,2009|1307|0713|0913|0907
U0037,5930,4,1970-03-21,1965-03-13,2011-04-22,2008-06-14,STRONG,,1970|2103|7003|0321|7021,6503|1965|1303|6513|0313,1104|0422|1122|2011|2204,1406|0806|0814|2008|0614
U0038,1002,4,1971-02-10,1970-09-05,2016-05-31,2013-04-29,WEAK,DEMOGRAPHIC_SELF,1971|7102|1002|7110|0210,7005|1970|0905|7009|0509,2016|1631|0531|3105|1605,2904|2013|0429|1304|1329
U0039,5654,4,1988-04-13,1990-07-30,2012-04-25,2020-11-27,STRONG,,0413|8804|8813|1304|1988,1990|0730|9030|3007|9007,1204|0425|2012|1225|2504,2027|2711|1127|2011|2020
U0040,1676,4,1990-12-08,1991-09-11,2024-07-12,2009-10-27,STRONG,,1990|1208|0812|9012|9008,0911|1109|9109|1991|9111,1207|2412|2407|0712|2024,2009|0910|0927|2710|1027
U0041,6751,4,1979-02-15,1977-06-16,2017-02-13,2007-01-03,STRONG,,1502|7902|7915|0215|1979,1606|0616|7716|7706|1977,0213|1302|1713|1702|2017,0301|0703|2007|0103|0701
U0042,2487,4,1971-07-24,1975-09-27,2020-10-11,2017-12-06,STRONG,,7124|2407|1971|7107|0724,1975|2709|0927|7527|7509,2010|1110|2011|2020|1011,1706|1206|1712|0612|2017
U0043,7777,4,1991-11-27,1987-08-13,2023-09-30,2016-10-25,WEAK,COMMON_PATTERN,2711|1127|9111|1991|9127,1987|0813|8708|8713|1308,3009|2330|2309|0930|2023,1025|1625|2510|2016|1610
U0044,8510,4,1987-01-16,1992-11-01,2012-10-27,2013-07-21,STRONG,,1987|0116|1601|8716|8701,1992|0111|1101|9211|9201,1210|2012|1227|2710|1027,1307|2107|2013|1321|0721
U0045,0825,4,1991-08-04,1989-08-25,2023-08-18,2002-02-17,WEAK,DEMOGRAPHIC_SPOUSE,0804|9104|0408|9108|1991,8925|2508|0825|8908|1989,2308|2318|1808|2023|0818,1702|0202|0217|2002
U0046,3936,4,1987-04-14,1992-10-10,2012-04-08,2018-06-16,STRONG,,1987|8714|0414|1404|8704,1010|9210|1992,0804|1204|0408|2012|1208,1606|0616|1806|2018|1816
U0047,1111,4,1992-05-07,1995-07-09,2016-08-29,2003-06-26,WEAK,COMMON_PATTERN,9207|0507|1992|0705|9205,9507|1995|9509|0709|0907,0829|2016|2908|1608|1629,0306|0326|0626|2606|2003
U0048,1983,4,1983-08-05,1984-02-10,2018-01-28,2001-05-12,WEAK,DEMOGRAPHIC_SELF,1983|8308|0508|0805|8305,8402|8410|0210|1002|1984,2801|0128|1828|2018|1801,0105|1205|0112|2001|0512
U0049,7746,4,1998-02-14,1997-01-20,2023-03-01,2022-08-19,STRONG,,0214|9814|1998|9802|1402,0120|9720|9701|1997|2001,2023|0301|2303|0103|2301,2219|2208|2022|1908|0819
U0050,2024,4,1970-06-27,1974-06-30,2024-12-13,2002-03-17,WEAK,DEMOGRAPHIC_PET,0627|2706|1970|7006|7027,3006|0630|1974|7406|7430,1213|2412|2413|1312|2024,1703|0317|0203|0217|2002
U0051,2022,4,1980-07-25,1976-02-18,2022-06-02,2023-01-19,WEAK,DEMOGRAPHIC_PET,8007|0725|8025|1980|2507,7618|1976|7602|1802|0218,2206|0602|0206|2022|2202,2319|0119|2301|1901|2023
U0052,1761,4,1997-07-22,1992-06-19,2018-09-04,2016-03-06,STRONG,,2207|9707|9722|1997|0722,1906|9206|0619|9219|1992,0409|0904|1804|2018|1809,1606|0306|2016|1603|0603
U0053,0307,4,1990-07-23,1995-04-05,2013-12-03,2003-07-07,WEAK,DEMOGRAPHIC_ANNIVERSARY,1990|9023|2307|0723|9007,9505|9504|1995|0504|0405,2013|1203|1312|1303|0312,0707|2003|0307
U0054,1111,4,1984-12-07,1989-09-14,2016-12-30,2009-05-18,WEAK,COMMON_PATTERN,1207|8407|0712|8412|1984,1409|8909|8914|0914|1989,1230|1612|3012|2016|1630,2009|0918|0905|1805|0518
U0055,2580,4,2000-04-06,2000-12-27,2023-12-03,2020-10-20,WEAK,COMMON_PATTERN,0004|0006|0406|0604|2000,0012|0027|1227|2712|2000,1203|2312|2303|0312|2023,2010|1020|2020
U0056,8238,4,1979-12-05,1983-07-03,2017-09-21,1997-02-02,STRONG,,1205|7912|0512|1979|7905,1983|8303|0703|8307|0307,1721|1709|0921|2017|2109,9702|0202|1997
U0057,0000,4,1995-07-18,1994-07-08,2013-07-05,2013-06-01,WEAK,COMMON_PATTERN,0718|9507|1995|9518|1807,9407|0807|1994|9408|0708,1307|2013|0507|1305|0705,0601|2013|1301|0106|1306
U0058,1234,4,1973-10-13,1971-02-14,2020-11-16,2015-03-24,WEAK,COMMON_PATTERN,1310|1013|7310|7313|1973,0214|1971|7102|7114|1402,2016|2011|1611|2020|1116,1524|2403|1503|0324|2015
U0059,4015,4,1997-12-28,2002-01-08,2015-04-02,2005-02-11,STRONG,,9712|2812|1997|1228|9728,0208|0108|0201|0801|2002,1504|1502|0402|0204|2015,1102|0211|0511|0502|2005
U0060,1111,4,1980-07-24,1977-12-27,2023-07-24,2022-04-07,WEAK,COMMON_PATTERN,8007|2407|1980|8024|0724,7727|7712|1227|2712|1977,2324|2407|2307|2023|0724,2207|0704|2022|2204|0407
U0061,3539,4,1988-07-18,1991-04-14,2021-11-25,2000-03-24,STRONG,,8818|0718|1807|8807|1988,9104|0414|9114|1404|1991,2021|2511|2111|2125|1125,0024|2403|0003|0324|2000
U0062,0788,4,1995-12-22,1998-01-07,2015-01-22,2021-10-29,STRONG,,9512|9522|1995|2212|1222,9807|0107|1998|0701|9801,0122|1501|2201|1522|2015,2021|2910|2129|1029|2110
U0063,1111,4,1977-01-21,1975-06-14,2021-04-10,2012-12-18,WEAK,COMMON_PATTERN,2101|7721|7701|1977|0121,1406|7506|1975|7514|0614,2021|2104|1004|0410|2110,2012|1812|1218|1212
U0064,6423,4,1974-04-19,1972-05-02,2023-06-09,2020-12-11,STRONG,,7419|7404|1974|1904|0419,0502|7205|0205|1972|7202,0906|0609|2306|2309|2023,1211|2012|1112|2011|2020
U0065,1979,4,1979-10-13,1974-07-25,2013-09-10,2010-10-25,WEAK,DEMOGRAPHIC_SELF,1310|1013|7910|7913|1979,0725|7425|1974|7407|2507,1310|2013|1309|0910|1009,1010|1025|2510|2010
U0066,2047,4,1983-11-01,1981-10-22,2011-11-21,2003-03-20,STRONG,,8311|1983|8301|0111|1101,1981|8122|1022|2210|8110,2111|1121|1111|2011,0320|0303|2003
U0067,0917,4,1970-02-11,1971-06-06,2013-07-03,2019-02-05,STRONG,,1102|7011|1970|0211|7002,7106|0606|1971,1307|2013|1303|0703|0307,1905|2019|0502|1902|0205
U0068,2002,4,1982-12-30,1983-02-20,2024-12-20,2018-05-29,WEAK,DEMOGRAPHIC_SPOUSE,1230|8212|3012|1982|8230,0220|1983|8302|8320|2002,2412|2012|2024|1220|2420,0529|1805|2018|1829|2905
U0069,8260,4,1999-09-17,2000-09-06,2024-04-02,2000-06-30,STRONG,,9917|1709|9909|1999|0917,0009|0006|0906|0609|2000,2404|0204|2024|2402|0402,0006|3006|0630|0030|2000
U0070,2304,4,1978-02-10,1980-04-23,2013-10-22,2011-12-24,WEAK,DEMOGRAPHIC_SPOUSE,7802|1978|7810|1002|0210,8004|8023|0423|1980|2304,1310|2013|1022|2210|1322,2412|1124|1112|1224|2011
U0071,2023,4,1989-02-15,1993-10-23,2023-08-05,2023-08-07,WEAK,"DEMOGRAPHIC_PET,DEMOGRAPHIC_ANNIVERSARY",1502|8902|8915|0215|1989,2310|1993|1023|9310|9323,2308|0508|0805|2305|2023,2308|0807|2307|0708|2023
U0072,1212,4,1990-09-07,1992-09-25,2011-06-17,2004-11-10,WEAK,COMMON_PATTERN,1990|9009|0709|0907|9007,9209|0925|9225|2509|1992,1706|1106|2011|0617|1117,2004|0411|0410|1110|1011
U0073,1982,4,1995-12-23,1995-12-03,2013-04-19,2007-12-27,STRONG,,9512|1995|2312|9523|1223,9512|1203|1995|0312|9503,2013|1304|1904|0419|1319,0727|1227|2712|0712|2007
U0074,8908,4,1989-08-10,1992-04-25,2019-09-12,2002-03-17,WEAK,DEMOGRAPHIC_SELF,0810|1008|8910|8908|1989,9204|0425|9225|1992|2504,2019|0912|1912|1909|1209,1703|0317|0203|0217|2002
U0075,1113,4,1992-06-09,1990-04-12,2010-05-22,1999-11-13,WEAK,DEMOGRAPHIC_ANNIVERSARY,9209|9206|0609|0906|1992,1990|1204|9004|0412|9012,2010|2205|0522|1022|1005,1113|9911|9913|1311|1999
U0076,8106,4,1981-06-30,1978-09-27,2020-01-01,2022-09-29,WEAK,DEMOGRAPHIC_SELF,3006|0630|1981|8106|8130,7809|2709|1978|7827|0927,2020|2001|0101,2229|2909|0929|2022|2209
U0077,2014,4,1996-11-21,2001-06-20,2014-09-05,2018-01-24,WEAK,DEMOGRAPHIC_PET,1996|2111|9611|1121|9621,0120|2006|0620|2001|0106,1409|0905|1405|2014|0509,2018|2401|1801|1824|0124
U0078,1212,4,1980-12-31,1979-03-30,2018-05-17,1997-07-19,WEAK,COMMON_PATTERN,8012|1231|1980|3112|8031,7903|7930|3003|0330|1979,1817|1705|2018|1805|0517,9707|1907|1997|9719|0719
U0079,2683,4,1970-09-08,1967-05-04,2023-06-08,2014-05-26,STRONG,,1970|0809|0908|7009|7008,1967|6704|6705|0504|0405,0806|2308|0608|2306|2023,2605|1426|1405|0526|2014
U0080,2018,4,1982-06-05,1982-05-02,2018-10-21,1995-12-28,WEAK,DEMOGRAPHIC_PET,8206|0506|8205|0605|1982,8202|8205|0502|1982|0205,1821|1021|1810|2018|2110,9512|1995|2812|9528|1228
U0081,4995,4,1977-07-05,1972-10-26,2018-08-15,2019-02-11,STRONG,,7707|7705|0507|0705|1977,7210|1972|2610|1026|7226,1508|0815|1815|2018|1808,1102|2019|0211|1902|1911
U0082,8008,4,1980-08-15,1985-09-06,2012-01-20,2003-02-10,WEAK,DEMOGRAPHIC_SELF,8008|1508|0815|8015|1980,0906|0609|8509|8506|1985,1201|0120|2012|2001|1220,0302|0310|1002|0210|2003
U0083,9430,4,1971-11-18,1974-01-28,2014-03-18,2015-12-23,STRONG,,7111|1971|7118|1118|1811,7428|7401|2801|1974|0128,1418|0318|1403|2014|1803,1523|2312|1512|1223|2015
U0084,1211,4,1985-10-31,1990-10-16,2012-08-01,2015-06-17,STRONG,,1031|3110|8531|8510|1985,1990|1016|9010|1610|9016,1201|0108|2012|0801|1208,1706|1506|1517|0617|2015
U0085,1111,4,2000-01-18,1998-06-22,2010-02-24,1997-06-17,WEAK,COMMON_PATTERN,0001|0118|0018|1801|2000,9822|9806|1998|0622|2206,2010|1002|0224|1024|2402,1706|1997|9706|0617|9717
U0086,1011,4,1980-02-01,1981-10-11,2017-06-23,2016-10-28,WEAK,DEMOGRAPHIC_SPOUSE,0102|0201|1980|8001|8002,1981|1110|8111|8110|1011,1706|0623|1723|2306|2017,2016|1610|1028|2810|1628
U0087,9222,4,1971-01-14,1972-03-07,2022-04-02,2011-12-22,STRONG,,1401|1971|0114|7101|7114,7207|7203|0703|1972|0307,2022|0204|2204|2202|0402,1112|2011|2212|1122|1222
U0088,1105,4,1975-07-23,1976-07-16,2011-05-27,2011-05-15,WEAK,"DEMOGRAPHIC_PET,DEMOGRAPHIC_ANNIVERSARY",1975|7523|7507|2307|0723,1976|1607|7616|7607|0716,1105|0527|2705|1127|2011,1115|0515|1105|1505|2011
U0089,8410,4,1985-09-15,1984-10-16,2016-04-30,1995-10-09,WEAK,DEMOGRAPHIC_SPOUSE,1509|0915|8509|8515|1985,8416|1016|8410|1610|1984,0430|1604|2016|1630|3004,0910|1995|9510|1009|9509
U0090,9878,4,1984-01-18,1989-08-03,2017-10-13,2011-02-22,STRONG,,0118|8401|8418|1801|1984,0308|0803|8903|8908|1989,1310|1013|1713|1710|2017,1102|2011|0222|1122|2202
U0091,7777,4,2003-05-01,2005-02-10,2022-02-20,2009-04-11,WEAK,COMMON_PATTERN,0105|0301|0305|0501|2003,0510|0502|1002|0210|2005,0220|2220|2022|2202|2002,2009|0911|0904|0411|1104
U0092,1311,4,2003-11-13,1998-11-01,2023-04-17,2019-03-03,WEAK,DEMOGRAPHIC_SELF,0311|1113|1311|0313|2003,9811|1998|0111|1101|9801,0417|1704|2304|2317|2023,2019|1903|0303
U0093,1111,4,1977-06-17,1981-05-22,2014-08-31,2009-06-15,WEAK,COMMON_PATTERN,1706|7717|7706|0617|1977,2205|1981|0522|8122|8105,0831|3108|1408|2014|1431,2009|1506|0615|0906|0915
U0094,1234,4,1982-10-29,1981-04-13,2011-03-05,2005-11-02,WEAK,COMMON_PATTERN,1029|2910|8229|1982|8210,0413|1981|8104|1304|8113,1103|1105|0503|0305|2011,1102|0211|0511|0502|2005
U0095,1460,4,1986-04-19,1985-12-26,2011-02-04,2008-12-08,STRONG,,1986|8619|8604|1904|0419,8512|2612|1226|8526|1985,1102|1104|2011|0204|0402,0808|1208|2008|0812
U0096,2805,4,1979-12-06,1977-09-09,2015-07-13,1999-05-28,WEAK,DEMOGRAPHIC_ANNIVERSARY,1206|7912|0612|7906|1979,7709|0909|1977,1307|0713|1507|1513|2015,1999|9905|2805|0528|9928
U0097,9902,4,2001-09-06,1997-09-30,2015-07-07,2015-06-08,STRONG,,0906|0609|2001|0109|0106,9709|3009|1997|0930|9730,1507|0707|2015,0806|1508|1506|0608|2015
U0098,8985,4,1974-03-23,1977-08-20,2017-10-05,2020-06-29,STRONG,,1974|7403|2303|7423|0323,7708|2008|7720|0820|1977,0510|1705|1710|1005|2017,0629|2906|2006|2029|2020
U0099,2611,4,1983-11-26,1984-08-14,2021-11-20,2011-08-09,WEAK,DEMOGRAPHIC_SELF,8311|2611|8326|1983|1126,8414|0814|1408|8408|1984,1120|2021|2111|2011|2120,1108|0809|2011|0908|1109
U0100,1234,4,1979-09-01,1981-02-28,2020-03-03,2006-06-20,WEAK,COMMON_PATTERN,7901|7909|1979|0109|0901,1981|0228|8102|8128|2802,2020|2003|0303,0620|0606|2006
U0101,4025,4,2000-07-04,2000-07-22,2021-04-06,2016-03-05,STRONG,,0007|0004|0704|0407|2000,2207|0007|0022|2000|0722,2021|2106|0406|2104|0604,2016|0503|0305|1605|1603
U0102,8308,4,1983-11-08,1988-12-18,2015-03-10,2014-10-30,WEAK,DEMOGRAPHIC_SELF,8311|1983|8308|1108|0811,8818|1218|1812|8812|1988,0310|1003|1503|1510|2015,1410|3010|1430|2014|1030
U0103,1111,4,1981-12-21,1985-06-13,2010-09-02,1996-04-15,WEAK,COMMON_PATTERN,8121|1981|1221|8112|2112,0613|8513|1306|8506|1985,2010|0902|0209|1002|1009,1504|1996|9615|9604|0415
U0104,8901,4,1989-12-02,1989-01-27,2015-04-12,1999-10-04,WEAK,DEMOGRAPHIC_SPOUSE,0212|8902|8912|1202|1989,8901|0127|8927|2701|1989,1504|1204|1512|0412|2015,0410|1999|9904|1004|9910
U0105,0455,4,1971-10-07,1976-06-22,2012-01-24,2009-12-20,STRONG,,1007|1971|0710|7110|7107,1976|0622|2206|7622|7606,1201|2012|1224|2401|0124,2009|0912|0920|2012|1220
U0106,1053,4,1978-07-27,1976-07-03,2016-03-01,2000-08-15,STRONG,,2707|7807|1978|0727|7827,1976|7607|7603|0703|0307,2016|0301|1601|0103|1603,0015|1508|0815|2000|0008
U0107,2011,4,1990-10-28,1986-04-04,2011-06-16,1998-09-23,WEAK,DEMOGRAPHIC_PET,1990|9010|9028|1028|2810,8604|1986|0404,1606|0616|1106|2011|1116,1998|9823|0923|2309|9809
U0108,3509,4,1986-04-08,1985-01-02,2012-12-26,2017-05-16,STRONG,,0804|1986|0408|8604|8608,0102|0201|8501|8502|1985,2012|2612|1226|1212,0516|1705|1716|1605|2017
U0109,0622,4,1988-06-04,1990-06-08,2017-06-22,2019-05-30,WEAK,DEMOGRAPHIC_PET,8804|0406|0604|8806|1988,1990|0806|0608|9006|9008,1706|0622|1722|2206|2017,1930|1905|2019|3005|0530
U0110,9812,4,1974-05-24,1978-07-25,2023-04-06,1998-09-12,WEAK,DEMOGRAPHIC_ANNIVERSARY,0524|2405|1974|7424|7405,0725|7807|1978|7825|2507,0406|0604|2304|2306|2023,0912|1998|9812|1209|9809
U0111,1111,4,1983-04-11,1981-03-08,2021-08-19,2013-12-26,WEAK,COMMON_PATTERN,8311|1983|8304|0411|1104,8103|0308|8108|1981|0803,2119|2021|1908|0819|2108,1326|2013|2612|1312|1226
U0112,2402,4,1999-09-13,1995-05-22,2024-02-04,2019-01-09,WEAK,DEMOGRAPHIC_PET,0913|9909|1309|9913|1999,9505|2205|9522|0522|1995,2404|0204|2024|2402|0402,1909|2019|1901|0109|0901
U0113,0920,4,1979-12-29,1975-02-27,2018-09-20,2018-10-02,WEAK,DEMOGRAPHIC_PET,7929|2912|7912|1229|1979,1975|0227|7527|7502|2702,2009|0920|2018|1809|1820,1810|0210|1002|2018|1802
U0114,7355,4,1985-07-20,1986-02-06,2013-11-02,1996-03-19,STRONG,,0720|8520|8507|2007|1985,1986|8606|0602|0206|8602,1102|1302|0211|2013|1311,1996|0319|9619|1903|9603
U0115,6580,4,1983-12-30,1986-12-24,2012-08-04,2021-12-28,STRONG,,1230|8330|3012|1983|8312,8612|1986|2412|1224|8624,0804|1204|0408|2012|1208,2021|2812|2112|1228|2128
U0116,1002,4,1975-11-08,1978-10-25,2019-10-02,2007-10-30,WEAK,DEMOGRAPHIC_PET,1975|7511|7508|1108|0811,1025|2510|1978|7810|7825,2019|0210|1002|1910|1902,3010|0710|0730|2007|1030
U0117,2512,4,1994-04-10,1993-08-31,2015-06-15,2012-03-05,STRONG,,9404|9410|1004|0410|1994,0831|3108|1993|9331|9308,0615|1506|1515|2015,1203|1205|2012|0503|0305
U0118,0615,4,1977-06-15,1979-11-13,2017-11-16,2022-12-14,WEAK,DEMOGRAPHIC_SELF,1506|7706|0615|7715|1977,1113|7911|1311|7913|1979,1116|1716|1611|1711|2017,1214|2214|1412|2022|2212
U0119,1996,4,1996-01-19,1996-05-03,2024-10-22,2000-08-01,WEAK,"DEMOGRAPHIC_SELF,DEMOGRAPHIC_SPOUSE",9601|1996|1901|9619|0119,1996|0503|9605|0305|9603,2422|2410|1022|2210|2024,0001|0108|0801|2000|0008
U0120,8311,4,1983-11-24,1986-08-21,2010-08-08,2010-12-27,WEAK,DEMOGRAPHIC_SELF,8311|1983|2411|1124|8324,0821|1986|8621|2108|8608,2010|1008|0808,2010|1227|2712|1012|1027
U0121,6250,4,1986-12-06,1988-11-12,2013-08-01,2004-01-11,STRONG,,8612|1986|8606|1206|0612,8811|1112|8812|1211|1988,0108|2013|0801|1301|1308,2004|0401|0411|0111|1101
U0122,1403,4,2001-06-25,1998-08-26,2018-03-14,2019-04-08,WEAK,DEMOGRAPHIC_PET,0125|0625|2506|2001|0106,0826|1998|2608|9826|9808,2018|1403|0314|1814|1803,0804|2019|0408|1904|1908
U0123,2010,4,1990-05-03,1986-11-19,2024-10-01,2010-12-10,WEAK,DEMOGRAPHIC_ANNIVERSARY,1990|9005|0503|0305|9003,1986|8619|8611|1119|1911,2410|1001|2401|2024|0110,2010|1012|1210|1010
U0124,6779,4,1999-02-23,1994-08-29,2024-06-05,2010-11-19,STRONG,,9923|2302|0223|1999|9902,0829|1994|9429|2908|9408,0506|0605|2405|2024|2406,2010|1011|1019|1119|1911
